source,Title,Author Keywords,Source title,DOI,Abstract,Document Type,Publication Year,title_norm,_doi_norm,llm_decision,llm_reason,score_relevance_valve,score_ml_strength,score_vs_pid,score_validation,score_industrial_similarity,score_peer_review,score_data_code,score_overall,ml_technique,control_task,domain,metrics,doi_confirmed
scopus,Fault Detection of Flow Control Valves Using Online LightGBM and STL Decomposition,flow control valve; LightGBM; online fault detection; residual analysis; STL decomposition,Actuators,10.3390/act13060222,,,,fault detection of flow control valves using online lightgbm and stl decomposition,10.3390/act13060222,Exclude,The record focuses on fault detection rather than control performance of valves using ML techniques.,0,0,0,0,0,1,0,1,LightGBM,fault detection,flow control,not applicable,True
WoS,Research of Pneumatic Polishing Force Control System Based on High Speed On/off with PWM Controlling,,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,10.1016/j.rcim.2021.102133,,,,research of pneumatic polishing force control system based on high speed onoff with pwm controlling,10.1016/j.rcim.2021.102133,Exclude,The record does not address the PICO elements relevant to industrial valve control or ML interventions.,0,0,0,0,0,1,0,1,,,,,True
WoS,Residual Life Prediction of Pneumatic Control Valves Based on Trans-TCN-GRU Modeling,,IEEE ACCESS,10.1109/ACCESS.2024.3513484,,,,residual life prediction of pneumatic control valves based on transtcngru modeling,10.1109/access.2024.3513484,Exclude,The record does not focus on valve control or ML interventions relevant to the PICO question.,0,0,0,0,0,1,0,1,,,,,True
WoS,"Revolutionizing Tire Quality Control: AI's Impact on Research, Development, and Real-Life Applications",,APPLIED SCIENCES-BASEL,10.3390/app13148406,,,,revolutionizing tire quality control ais impact on research development and reallife applications,10.3390/app13148406,Exclude,The record does not relate to industrial processes with valves or ML control interventions.,0,0,0,0,0,1,0,1,,,,,True
WoS,Self-adapting anti-surge intelligence control and numerical simulation of centrifugal compressors based on RBF neural network,,ENERGY REPORTS,10.1016/j.egyr.2022.01.135,,,,selfadapting antisurge intelligence control and numerical simulation of centrifugal compressors based on rbf neural network,10.1016/j.egyr.2022.01.135,Exclude,Lacks relevant information on valve control and ML techniques for industrial processes.,0,0,0,0,0,1,0,1,RBF neural network,not specified,centrifugal compressors,not specified,True
scopus,Stiction compensation for low-cost electric valves,Control valves; Nonlinear control; Process control; Stiction,Control Engineering Practice,10.1016/j.conengprac.2023.105482,,,,stiction compensation for lowcost electric valves,10.1016/j.conengprac.2023.105482,Exclude,The record does not focus on ML-based control or relevant industrial processes with valves.,0,0,0,0,0,1,0,1,,valve control,other,,True
scopus,Stiction detection and recurrence analysis for control valves by phase space reconstruction method,Control loop; Phase space reconstruction; Recurrence analysis; Valve stiction,Advanced Engineering Informatics,10.1016/j.aei.2024.102949,,,,stiction detection and recurrence analysis for control valves by phase space reconstruction method,10.1016/j.aei.2024.102949,Exclude,The record does not focus on ML-based control interventions or compare them to PID controllers.,0,0,0,0,0,1,0,1,None,Valve control,Other,None,True
WoS,Surge protection of centrifugal compressors using advanced anti-surge control system,,MEASUREMENT & CONTROL,10.1177/0020294020983372,,,,surge protection of centrifugal compressors using advanced antisurge control system,10.1177/0020294020983372,Exclude,The record does not address the specified PICO elements related to valve control and ML interventions.,0,0,0,0,0,1,0,1,,,,,True
WoS,Tire Bubble Defect Detection Using Incremental Learning,,APPLIED SCIENCES-BASEL,10.3390/app122312186,,,,tire bubble defect detection using incremental learning,10.3390/app122312186,Exclude,The record does not relate to industrial valve control or ML interventions in the specified domains.,0,0,0,0,0,1,0,1,,,,,True
WoS,Real-Time Pipe and Valve Characterisation and Mapping for Autonomous Underwater Intervention Tasks,,SENSORS,10.3390/s22218141,,,,realtime pipe and valve characterisation and mapping for autonomous underwater intervention tasks,10.3390/s22218141,Exclude,Lacks relevant content and details for PICO criteria.,0,0,0,0,0,1,0,1,,,,,True
WoS,Experimental analysis of the performance of the air supply system in a 120 kW polymer electrolyte membrane fuel cell system,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,10.1016/j.ijhydene.2022.04.189,,,,experimental analysis of the performance of the air supply system in a 120 kw polymer electrolyte membrane fuel cell system,10.1016/j.ijhydene.2022.04.189,Exclude,The record does not relate to industrial processes with valves or ML control methods.,0,0,0,0,0,1,0,1,,,,,True
scopus,Exploring the Application of Large Language Models Based AI Agents in Leakage Detection of Natural Gas Valve Chambers,AI agent; large language model; leakage detection; natural gas valve chamber,Energies,10.3390/en17225633,,,,exploring the application of large language models based ai agents in leakage detection of natural gas valve chambers,10.3390/en17225633,Exclude,Focuses on leakage detection rather than control of industrial processes with valves.,0,0,0,0,0,1,0,1,Large Language Models (LLM),Leakage detection,Natural gas valve chambers,Not applicable,True
scopus,"Complex Dynamics and Intelligent Control: Advances, Challenges, and Applications in Mining and Industrial Processes",chaotic dynamics; energy transition; industrial cybersecurity; machine learning; magnetohydrodynamics; Mining 4.0; robust control; stochastic modeling,Mathematics,10.3390/math13060961,,,,complex dynamics and intelligent control advances challenges and applications in mining and industrial processes,10.3390/math13060961,Exclude,Lacks specific focus on valve control and relevant outcomes for the PICO question.,0,0,0,0,0,1,0,1,,,,,True
WoS,A novel modelling of glue allowance prediction for time-pressure dispensing system based on gated recurrent unit and fully connected neural network,,JOURNAL OF ADVANCED MECHANICAL DESIGN SYSTEMS AND MANUFACTURING,10.1299/jamdsm.2023jamdsm0070,,,,a novel modelling of glue allowance prediction for timepressure dispensing system based on gated recurrent unit and fully connected neural network,10.1299/jamdsm.2023jamdsm0070,Exclude,The record does not relate to industrial valve control or the specified PICO elements.,0,0,0,0,0,1,0,1,"Gated recurrent unit, fully connected neural network",Not applicable,Not applicable,Not applicable,True
scopus,A one-class support vector machine for detecting valve stiction,Control loop performance monitoring; Control valve; Feature extraction; Linear discriminant analysis; Principal component analysis; Scikit-learn; Stiction; Support vector machine; Time series; Tsfresh,Digital Chemical Engineering,10.1016/j.dche.2023.100116,,,,a oneclass support vector machine for detecting valve stiction,10.1016/j.dche.2023.100116,Exclude,"The record does not focus on ML control strategies for valve control, but rather on detection of valve stiction.",0,0,0,0,0,1,0,1,Support Vector Machine,Valve stiction detection,Control loop performance monitoring,Not applicable,True
WoS,A Performance Prediction Method for a High-Precision Servo Valve Supported by Digital Twin Assembly-Commissioning,,MACHINES,10.3390/machines10010011,,,,a performance prediction method for a highprecision servo valve supported by digital twin assemblycommissioning,10.3390/machines10010011,Exclude,The record does not focus on industrial processes with valves or ML control methods relevant to the PICO question.,0,0,0,0,0,1,0,1,,,,,True
WoS,A systematic approach for data generation for intelligent fault detection and diagnosis in District Heating,,ENERGY,10.1016/j.energy.2024.132711,,,,a systematic approach for data generation for intelligent fault detection and diagnosis in district heating,10.1016/j.energy.2024.132711,Exclude,The record does not address the specified PICO elements related to industrial valve control and ML interventions.,0,0,0,0,0,1,0,1,,,,,True
WoS,An approach for stiction compensation in industrial process control valves,,COMPUTERS & CHEMICAL ENGINEERING,10.1016/j.compchemeng.2021.107641,,,,an approach for stiction compensation in industrial process control valves,10.1016/j.compchemeng.2021.107641,Exclude,Lacks relevant details on ML control methods and outcomes related to valve performance.,0,0,0,0,0,1,0,1,,valve control,industrial process control,,True
WoS,Anomaly Segmentation Based on Depth Image for Quality Inspection Processes in Tire Manufacturing,,APPLIED SCIENCES-BASEL,10.3390/app112110376,,,,anomaly segmentation based on depth image for quality inspection processes in tire manufacturing,10.3390/app112110376,Exclude,The record does not relate to industrial valve control or ML interventions in the specified domains.,0,0,0,0,0,1,0,1,,,,,True
scopus,APAH: An autonomous IoT driven real-time monitoring system for Industrial wastewater,ESP8266; Internet of Things; Monitoring; pH; Wastewater; Water quality,Digital Chemical Engineering,10.1016/j.dche.2025.100217,,,,apah an autonomous iot driven realtime monitoring system for industrial wastewater,10.1016/j.dche.2025.100217,Exclude,The record does not focus on valve control or ML interventions relevant to the PICO question.,0,0,0,0,0,1,0,1,,,other,,True
WoS,Applicant hierarchical fuzzy controller for concentration control of simulated moving bed,,SCIENTIFIC REPORTS,10.1038/s41598-021-97134-5,,,,applicant hierarchical fuzzy controller for concentration control of simulated moving bed,10.1038/s41598-021-97134-5,Exclude,The record does not address industrial valve control or relevant ML techniques for the specified PICO question.,0,0,0,0,0,1,0,1,fuzzy controller,concentration control,related process,not specified,True
WoS,Bridging the performance gap between passive and autonomous inflow control devices with a hybrid dynamic optimization technique integrating machine learning and global sensitivity analysis,,GEOENERGY SCIENCE AND ENGINEERING,10.1016/j.geoen.2024.213037,,,,bridging the performance gap between passive and autonomous inflow control devices with a hybrid dynamic optimization technique integrating machine learning and global sensitivity analysis,10.1016/j.geoen.2024.213037,Exclude,Lacks sufficient details on control tasks and outcomes relevant to the PICO question.,0,0,0,0,0,1,0,1,hybrid dynamic optimization with ML,not specified,not specified,not specified,True
WoS,Communicating the Automatic Control Principles in Smart Agriculture Education: The Interactive Water Pump Example,,ROBOTICS,10.3390/robotics14060068,,,,communicating the automatic control principles in smart agriculture education the interactive water pump example,10.3390/robotics14060068,Exclude,The record does not relate to industrial valve control or ML interventions in the specified domains.,0,0,0,0,0,1,0,1,,,,,True
WoS,Utilizing Selected Machine Learning Methods for Conicity Prediction in the Process of Producing Radial Tires for Passenger Cars,,APPLIED SCIENCES-BASEL,10.3390/app14156393,,,,utilizing selected machine learning methods for conicity prediction in the process of producing radial tires for passenger cars,10.3390/app14156393,Exclude,Not relevant to industrial valve control or the specified PICO elements.,0,0,0,0,0,1,0,1,Not applicable,Not applicable,Not applicable,Not applicable,True
WoS,Explainable attention-based fused convolutional neural network (XAFCNN) for tire defect detection: an industrial case study,,ENGINEERING RESEARCH EXPRESS,10.1088/2631-8695/ad23c8,,,,explainable attentionbased fused convolutional neural network xafcnn for tire defect detection an industrial case study,10.1088/2631-8695/ad23c8,Exclude,The record does not relate to valve control or the specified industrial processes.,0,0,0,0,0,1,0,1,Convolutional Neural Network,Not applicable,Not applicable,Not applicable,True
WoS,Design of FOPID Controller for Pneumatic Control Valve Based on Improved BBO Algorithm,,SENSORS,10.3390/s22176706,,,,design of fopid controller for pneumatic control valve based on improved bbo algorithm,10.3390/s22176706,Exclude,The record does not focus on ML-based control methods or relevant industrial processes involving valves.,0,0,0,0,0,1,0,1,FOPID Controller,Pneumatic control valve,Other,Not specified,True
WoS,Detecting Semantic Attack in SCADA System: A Behavioral Model Based on Secondary Labeling of States-Duration Evolution Graph,,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,10.1109/TNSE.2021.3130602,,,,detecting semantic attack in scada system a behavioral model based on secondary labeling of statesduration evolution graph,10.1109/tnse.2021.3130602,Exclude,The record does not address industrial processes with valves or ML control techniques relevant to the PICO question.,0,0,0,0,0,1,0,1,,,,,True
scopus,Developing a novel Gaussian process model predictive controller to improve the energy efficiency and tracking accuracy of the pressure servo control system,Energy efficiency; Gaussian process; Model predictive control; Pneumatic system; Pressure tracking,Journal of Cleaner Production,10.1016/j.jclepro.2023.138057,,,,developing a novel gaussian process model predictive controller to improve the energy efficiency and tracking accuracy of the pressure servo control system,10.1016/j.jclepro.2023.138057,Exclude,Does not focus on valve control or ML techniques relevant to the PICO question.,0,0,0,0,0,1,0,1,Gaussian process model predictive control,pressure tracking,pneumatic system,"energy efficiency, tracking accuracy",True
WoS,Development of Pneumatic Force-Controlled Actuator for Automatic Robot Polishing Complex Curved Plexiglass Parts,,MACHINES,10.3390/machines11040446,,,,development of pneumatic forcecontrolled actuator for automatic robot polishing complex curved plexiglass parts,10.3390/machines11040446,Exclude,The record does not relate to industrial processes with valves or ML control interventions.,0,0,0,0,0,1,0,1,,,,,True
WoS,Dynamic Prediction of Performance Degradation Characteristics of Direct-Drive Electro-Hydraulic Servo Valves,,APPLIED SCIENCES-BASEL,10.3390/app13127231,,,,dynamic prediction of performance degradation characteristics of directdrive electrohydraulic servo valves,10.3390/app13127231,Exclude,Lacks relevant content on ML control for valve systems and comparison with PID.,0,0,0,0,0,1,0,1,,,,,True
WoS,Enhancing metal additive manufacturing training with the advanced vision language model: A pathway to immersive augmented reality training for non-experts,,JOURNAL OF MANUFACTURING SYSTEMS,10.1016/j.jmsy.2024.06.007,,,,enhancing metal additive manufacturing training with the advanced vision language model a pathway to immersive augmented reality training for nonexperts,10.1016/j.jmsy.2024.06.007,Exclude,The record does not relate to industrial processes with valves or ML control interventions.,0,0,0,0,0,1,0,1,,,,,True
WoS,Event-driven enabled regression aided multi-loop control for SEC minimisation in SWRO desalination considering salinity variation,,ISA TRANSACTIONS,10.1016/j.isatra.2021.02.035,,,,eventdriven enabled regression aided multiloop control for sec minimisation in swro desalination considering salinity variation,10.1016/j.isatra.2021.02.035,Exclude,The record does not focus on valve control or the specified industrial processes.,0,0,0,0,0,1,0,1,,,,,True
WoS,A Method for Detecting Key Points of Transferring Barrel Valve by Integrating Keypoint R-CNN and MobileNetV3,,ELECTRONICS,10.3390/electronics12204306,,,,a method for detecting key points of transferring barrel valve by integrating keypoint rcnn and mobilenetv3,10.3390/electronics12204306,Exclude,The record does not address ML control of valves in industrial processes as per the PICO criteria.,0,0,0,0,0,1,0,1,,,,,True
scopus,NEW MCA GENERATOR,Biocide program; MCA program; Monochloramine (MCA); New MCA generator; Paper machine microbicide program,IPPTA: Quarterly Journal of Indian Pulp and Paper Technical Association,,,,,new mca generator,nan,Exclude,The record does not relate to industrial processes with valves or ML control methods.,0,0,0,0,0,0,0,0,,,,,False
WoS,Diagnosis of Pneumatic Systems on Basis of Time Series and Generalized Feature for Comparison with Standards for Normal Working Condition,,TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS,10.18421/TEM101-23,,,,diagnosis of pneumatic systems on basis of time series and generalized feature for comparison with standards for normal working condition,10.18421/tem101-23,Exclude,The record does not address the PICO elements relevant to industrial valve control using ML techniques.,0,0,0,0,0,0,0,0,,,,,True
scopus,Design and Realization of Fully Automatic Pump Performance Test System,Automation; Host computer; Net; Performance measurement; Pumps; Test systems,International Journal of Engineering Research in Africa,10.4028/p-MX1eNP,,,,design and realization of fully automatic pump performance test system,10.4028/p-mx1enp,Exclude,Lacks relevant details on ML control and comparison to PID.,0,0,0,0,0,0,0,0,,,,,True
